Sex,Age Years,Total deaths,COVID-19 Deaths,"Effected
"
1,0,17260,88,F
1,0.1,17260,88,F
1,0.2,17260,88,F
1,0.3,17260,88,F
1,0.4,17260,88,F
1,0.5,17260,88,F
0,0,21147,102,F
0,0.01,21147,102,F
0,0.02,21147,102,F
0,0.03,21147,102,F
0,0.04,21147,102,F
0,0.05,21147,102,F
1,0.06,1492,22,F
1,0.07,1492,22,F
1,0.08,1492,22,F
1,0.09,1492,22,F
1,0.1,1492,22,F
1,0.11,1492,22,F
0,0.06,1878,30,F
0,0.07,1878,30,F
0,0.08,1878,30,F
0,0.09,1878,30,F
0,0.1,1878,30,F
0,0.11,1878,30,F
1,1,1361,18,F
0,1,1670,32,F
1,2,848,12,F
0,2,1104,9,F
1,3,638,10,F
0,3,909,10,F
1,4,556,14,F
0,4,705,8,F
1,5,469,9,F
0,5,667,11,F
1,6,448,12,F
0,6,602,10,F
1,7,441,14,F
0,7,530,10,F
1,8,413,10,F
0,8,483,13,F
1,9,375,12,F
0,9,521,22,F
1,10,417,10,F
0,10,589,14,F
1,11,463,10,F
0,11,661,12,F
1,12,577,16,F
0,12,738,19,F
1,13,690,21,F
0,13,1075,26,F
1,14,809,26,F
0,14,1469,19,F
1,15,953,40,F
0,15,2014,42,F
1,16,1215,33,F
0,16,2821,48,F
1,17,1410,54,F
0,17,3757,65,F
1,18,1900,59,F
0,18,5194,100,F
1,19,2052,90,F
0,19,6244,135,F
1,20,2318,113,F
0,20,6547,145,F
1,21,2621,109,F
0,21,7450,189,F
1,22,2680,173,F
0,22,7799,208,F
1,23,2993,172,F
0,23,8078,257,F
1,24,3119,196,F
0,24,8596,317,F
1,25,3420,220,F
0,25,9195,314,F
1,26,3693,242,F
0,26,9758,377,F
1,27,4062,297,F
0,27,10492,453,F
1,28,4373,322,F
0,28,11281,545,F
1,29,4930,373,F
0,29,12016,638,F
1,30,5299,480,F
0,30,12685,695,F
1,31,5496,506,F
0,31,13049,802,F
1,32,5923,560,F
0,32,13129,836,F
1,33,6252,568,F
0,33,13347,920,T
1,34,6422,606,F
0,34,13654,1049,T
1,35,6799,673,F
0,35,14052,1082,T
1,36,7136,716,F
0,36,14447,1194,T
1,37,7578,748,F
0,37,14952,1350,T
1,38,7994,872,F
0,38,15478,1402,T
1,39,8517,948,T
0,39,16466,1602,T
1,40,8918,1071,T
0,40,16920,1631,T
1,41,9401,1115,T
0,41,17364,1871,T
1,42,9685,1261,T
0,42,17364,2019,T
1,43,10014,1344,T
0,43,17852,2154,T
1,44,10410,1433,T
0,44,18331,2466,T
1,45,10999,1492,T
0,45,18915,2666,T
1,46,11857,1679,T
0,46,20231,2912,T
1,47,12696,1762,T
0,47,21513,3169,T
1,48,14054,2058,T
0,48,24008,3617,T
1,49,15811,2291,T
0,49,26824,3963,T
1,50,17730,2527,T
0,50,29771,4566,T
1,51,18595,2587,T
0,51,31151,4802,T
1,52,19671,2755,T
0,52,33031,5167,T
1,53,20944,2915,T
0,53,34832,5272,T
1,54,22749,3217,T
0,54,38407,5678,T
1,55,25643,3518,T
0,55,42557,6181,T
1,56,28741,3997,T
0,56,47557,7016,T
1,57,31801,4315,T
0,57,51403,7277,T
1,58,34078,4829,T
0,58,55999,7795,T
1,59,37815,5249,T
0,59,60103,8653,T
1,60,40507,5622,T
0,60,64785,9273,T
1,61,43241,6080,T
0,61,68350,9716,T
1,62,45999,6605,T
0,62,71698,10392,T
1,63,48943,7074,T
0,63,75842,10856,T
1,64,51280,7486,T
0,64,78526,11242,T
1,65,52936,7738,T
0,65,80156,11755,T
1,66,54612,7811,T
0,66,81908,11921,T
1,67,56608,8041,T
0,67,83240,12040,T
1,68,58759,8419,T
0,68,85031,12559,T
1,69,61088,8745,T
0,69,86121,12894,T
1,70,63937,8914,T
0,70,88764,13404,T
1,71,67851,9480,T
0,71,90504,13574,T
1,72,72924,10049,T
0,72,95406,14454,T
1,73,78848,10632,T
0,73,101735,15431,T
1,74,78680,10901,T
0,74,99070,15185,T
1,75,73788,9933,T
0,75,91107,14080,T
1,76,77291,10233,T
0,76,92787,14034,T
1,77,84304,10933,T
0,77,99278,14900,T
1,78,87679,11417,T
0,78,101309,15213,T
1,79,86536,10994,T
0,79,97563,14589,T
1,80,87540,10860,T
0,80,94780,14155,T
1,81,89196,11049,T
0,81,94415,13757,T
1,82,92841,11498,T
0,82,94115,13654,T
1,83,95046,11480,T
0,83,94033,13700,T
1,84,97271,11655,T
0,84,92340,13067,T
1,85,1301317,140129,T
0,85,848799,109778,T
